scope,target,target_display,model_a,model_b,n_paired,n_positive,n_negative,AUROC_a,AUROC_b,AUROC_diff_a_minus_b,bootstrap_diff_ci95_lower,bootstrap_diff_ci95_upper,bootstrap_p_two_sided,bootstrap_n_valid,delong_p,delong_status,delong_auc_a,delong_auc_b,bootstrap_p_two_sided_fdr_bh,delong_p_fdr_bh
internal_locked_test,target_her2,HER2,all_features|eb_combat|pls_logistic,radiomics_pure|simple_combat|pls_logistic,17,9,8,0.4722222222222222,0.5,-0.02777777777777779,-0.12869047619047624,0.05555555555555558,0.6891036321226258,3000,0.47851659312140143,ok,0.4722222222222223,0.5,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|none|pls_logistic,all_features|simple_combat|pls_logistic,17,9,8,0.4722222222222222,0.5,-0.02777777777777779,-0.12121212121212122,0.0,0.9050316561146284,3000,0.40424849473947305,ok,0.4722222222222223,0.5,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|none|pls_logistic,radiomics_pure|simple_combat|pls_logistic,17,9,8,0.4722222222222222,0.5,-0.02777777777777779,-0.12121212121212122,0.0,0.870376541152949,3000,0.40278369424647587,ok,0.4722222222222223,0.5,1.0,1.0
internal_locked_test,target_her2,HER2,radiomics_pure|eb_combat|pls_logistic,radiomics_pure|simple_combat|pls_logistic,17,9,8,0.4722222222222222,0.5,-0.02777777777777779,-0.12869047619047624,0.05555555555555558,0.6897700766411197,3000,0.47851659312140143,ok,0.4722222222222223,0.5,1.0,1.0
internal_locked_test,target_pr,PR,radiomics_pure|none|elastic_net_sparse,radiomics_pure|simple_combat|elastic_net_sparse,16,5,11,0.7454545454545454,0.6181818181818183,0.1272727272727271,-0.3547619047619048,0.6407051282051281,0.6613226452905812,2993,0.6150838216194,ok,0.7454545454545454,0.6181818181818183,0.9018036072144288,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|simple_combat|elastic_net_sparse,radiomics_pure|eb_combat|elastic_net_sparse,16,5,11,0.6181818181818183,0.5,0.11818181818181828,-0.25,0.4535714285714275,0.4909819639278557,2993,0.5101408261041019,ok,0.6181818181818183,0.5,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|none|elastic_net_sparse,radiomics_pure|eb_combat|elastic_net_sparse,16,5,11,0.6181818181818182,0.5,0.11818181818181817,-0.21794871794871795,0.4285714285714285,0.5150300601202404,2993,0.49082413473472675,ok,0.6181818181818183,0.5,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|eb_combat|elastic_net_sparse,radiomics_pure|eb_combat|elastic_net_sparse,16,5,11,0.5,0.5,0.0,0.0,0.0,1.0,2993,,ok,0.5,0.5,1.0,
internal_locked_test,target_pr,PR,all_features|simple_combat|elastic_net_sparse,radiomics_pure|simple_combat|elastic_net_sparse,16,5,11,0.6181818181818183,0.6181818181818183,0.0,0.0,0.0,1.0,2993,,ok,0.6181818181818183,0.6181818181818183,1.0,
internal_locked_test,target_pr,PR,all_features|none|elastic_net_sparse,all_features|simple_combat|elastic_net_sparse,16,5,11,0.6181818181818182,0.6181818181818183,-1.1102230246251565e-16,-0.5391025641025642,0.5636363636363636,0.9853039412157648,2993,1.0,ok,0.6181818181818183,0.6181818181818183,1.0,1.0
internal_locked_test,target_pr,PR,all_features|none|elastic_net_sparse,radiomics_pure|simple_combat|elastic_net_sparse,16,5,11,0.6181818181818182,0.6181818181818183,-1.1102230246251565e-16,-0.5391025641025642,0.5636363636363636,0.9853039412157648,2993,1.0,ok,0.6181818181818183,0.6181818181818183,1.0,1.0
internal_locked_test,target_pr,PR,all_features|eb_combat|elastic_net_sparse,all_features|none|elastic_net_sparse,16,5,11,0.5,0.6181818181818182,-0.11818181818181817,-0.4285714285714285,0.21794871794871795,0.5150300601202404,2993,0.49082413473472675,ok,0.5,0.6181818181818183,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|eb_combat|elastic_net_sparse,all_features|simple_combat|elastic_net_sparse,16,5,11,0.5,0.6181818181818183,-0.11818181818181828,-0.4535714285714286,0.25,0.4909819639278557,2993,0.5101408261041019,ok,0.5,0.6181818181818183,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|eb_combat|elastic_net_sparse,radiomics_pure|simple_combat|elastic_net_sparse,16,5,11,0.5,0.6181818181818183,-0.11818181818181828,-0.4535714285714286,0.25,0.4909819639278557,2993,0.5101408261041019,ok,0.5,0.6181818181818183,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,radiomics_pure|eb_combat|elastic_net_sparse,radiomics_pure|simple_combat|elastic_net_sparse,16,5,11,0.5,0.6181818181818183,-0.11818181818181828,-0.4535714285714286,0.25,0.4909819639278557,2993,0.5101408261041019,ok,0.5,0.6181818181818183,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|simple_combat|elastic_net_sparse,radiomics_pure|none|elastic_net_sparse,16,5,11,0.6181818181818183,0.7454545454545454,-0.1272727272727271,-0.6407051282051281,0.3547619047619042,0.6613226452905812,2993,0.6150838216194,ok,0.6181818181818183,0.7454545454545454,0.9018036072144288,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|none|elastic_net_sparse,radiomics_pure|none|elastic_net_sparse,16,5,11,0.6181818181818182,0.7454545454545454,-0.1272727272727272,-0.4,0.12820512820512825,0.3580494321977288,2993,0.3212290624511895,ok,0.6181818181818183,0.7454545454545454,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,all_features|eb_combat|elastic_net_sparse,radiomics_pure|none|elastic_net_sparse,16,5,11,0.5,0.7454545454545454,-0.24545454545454537,-0.5,0.125,0.1790247160988644,2993,0.14311729825820174,ok,0.5,0.7454545454545454,0.858383433533734,0.7269172437320182
internal_locked_test,target_pr,PR,radiomics_pure|eb_combat|elastic_net_sparse,radiomics_pure|none|elastic_net_sparse,16,5,11,0.5,0.7454545454545454,-0.24545454545454537,-0.5,0.125,0.1790247160988644,2993,0.14311729825820174,ok,0.5,0.7454545454545454,0.858383433533734,0.7269172437320182
