feature,importance,importance_std,importance_type
patient_original_glrlm_highgraylevelrunemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_longrunhighgraylevelemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_longrunhighgraylevelemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_longrunhighgraylevelemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_longrunhighgraylevelemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_longrunhighgraylevelemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_longrunhighgraylevelemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_runlengthnonuniformity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_runlengthnonuniformity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_runlengthnonuniformity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_runlengthnonuniformity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_runlengthnonuniformity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_runlengthnonuniformity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_graylevelnonuniformity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_graylevelnonuniformity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_graylevelnonuniformity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_graylevelnonuniformity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_graylevelnonuniformity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_graylevelnonuniformity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_highgraylevelzoneemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_highgraylevelzoneemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_highgraylevelzoneemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_highgraylevelzoneemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_highgraylevelzoneemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_highgraylevelzoneemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareaemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareaemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareaemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareaemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareaemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareaemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareahighgraylevelemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareahighgraylevelemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareahighgraylevelemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareahighgraylevelemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareahighgraylevelemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largeareahighgraylevelemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largearealowgraylevelemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largearealowgraylevelemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largearealowgraylevelemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largearealowgraylevelemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largearealowgraylevelemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_largearealowgraylevelemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_sizezonenonuniformity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_sizezonenonuniformity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_sizezonenonuniformity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_sizezonenonuniformity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_sizezonenonuniformity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_sizezonenonuniformity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_zonevariance_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_zonevariance_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_zonevariance_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_zonevariance_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_zonevariance_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glszm_zonevariance_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_ngtdm_complexity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_ngtdm_complexity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_ngtdm_complexity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_ngtdm_complexity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_ngtdm_complexity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_ngtdm_complexity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_elongation_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_elongation_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_elongation_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_elongation_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_elongation_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_elongation_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_flatness_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_flatness_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_flatness_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_flatness_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_flatness_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_flatness_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_leastaxislength_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_leastaxislength_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_leastaxislength_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_leastaxislength_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_leastaxislength_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_leastaxislength_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_majoraxislength_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_majoraxislength_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_majoraxislength_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_majoraxislength_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_majoraxislength_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_majoraxislength_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiametercolumn_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiametercolumn_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiametercolumn_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiametercolumn_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiametercolumn_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiametercolumn_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterrow_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterrow_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterrow_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterrow_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterrow_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterrow_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterslice_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterslice_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterslice_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterslice_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterslice_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum2ddiameterslice_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum3ddiameter_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum3ddiameter_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum3ddiameter_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_maximum3ddiameter_mean,0.0,0.0,permutation_roc_auc_locked_test
