bcbm_feature,match_key,openbtai_feature,matched
patient_original_glcm_contrast_iqr,original_glcm_contrast_iqr,,False
patient_original_glcm_contrast_max,original_glcm_contrast_max,ext_original_glcm_Contrast_max,True
patient_original_glcm_contrast_mean,original_glcm_contrast_mean,ext_original_glcm_Contrast_mean,True
patient_original_glcm_contrast_min,original_glcm_contrast_min,ext_original_glcm_Contrast_min,True
patient_original_glcm_contrast_std,original_glcm_contrast_std,ext_original_glcm_Contrast_std,True
patient_original_glcm_correlation_cv,original_glcm_correlation_cv,,False
patient_original_glcm_correlation_iqr,original_glcm_correlation_iqr,,False
patient_original_glcm_correlation_max,original_glcm_correlation_max,ext_original_glcm_Correlation_max,True
patient_original_glcm_correlation_mean,original_glcm_correlation_mean,ext_original_glcm_Correlation_mean,True
patient_original_glcm_correlation_min,original_glcm_correlation_min,ext_original_glcm_Correlation_min,True
patient_original_glcm_correlation_std,original_glcm_correlation_std,ext_original_glcm_Correlation_std,True
patient_original_glcm_differenceaverage_cv,original_glcm_differenceaverage_cv,,False
patient_original_glcm_differenceaverage_iqr,original_glcm_differenceaverage_iqr,,False
patient_original_glcm_differenceaverage_max,original_glcm_differenceaverage_max,ext_original_glcm_DifferenceAverage_max,True
patient_original_glcm_differenceaverage_mean,original_glcm_differenceaverage_mean,ext_original_glcm_DifferenceAverage_mean,True
patient_original_glcm_differenceaverage_min,original_glcm_differenceaverage_min,ext_original_glcm_DifferenceAverage_min,True
patient_original_glcm_differenceaverage_std,original_glcm_differenceaverage_std,ext_original_glcm_DifferenceAverage_std,True
patient_original_glcm_differenceentropy_cv,original_glcm_differenceentropy_cv,,False
patient_original_glcm_differenceentropy_iqr,original_glcm_differenceentropy_iqr,,False
patient_original_glcm_differenceentropy_max,original_glcm_differenceentropy_max,ext_original_glcm_DifferenceEntropy_max,True
patient_original_glcm_differenceentropy_mean,original_glcm_differenceentropy_mean,ext_original_glcm_DifferenceEntropy_mean,True
patient_original_glcm_differenceentropy_min,original_glcm_differenceentropy_min,ext_original_glcm_DifferenceEntropy_min,True
patient_original_glcm_differenceentropy_std,original_glcm_differenceentropy_std,ext_original_glcm_DifferenceEntropy_std,True
patient_original_glcm_differencevariance_cv,original_glcm_differencevariance_cv,,False
patient_original_glcm_differencevariance_iqr,original_glcm_differencevariance_iqr,,False
patient_original_glcm_differencevariance_max,original_glcm_differencevariance_max,ext_original_glcm_DifferenceVariance_max,True
patient_original_glcm_differencevariance_mean,original_glcm_differencevariance_mean,ext_original_glcm_DifferenceVariance_mean,True
patient_original_glcm_differencevariance_min,original_glcm_differencevariance_min,ext_original_glcm_DifferenceVariance_min,True
patient_original_glcm_differencevariance_std,original_glcm_differencevariance_std,ext_original_glcm_DifferenceVariance_std,True
patient_original_glcm_id_cv,original_glcm_id_cv,,False
patient_original_glcm_id_iqr,original_glcm_id_iqr,,False
patient_original_glcm_id_max,original_glcm_id_max,ext_original_glcm_Id_max,True
patient_original_glcm_id_mean,original_glcm_id_mean,ext_original_glcm_Id_mean,True
patient_original_glcm_id_min,original_glcm_id_min,ext_original_glcm_Id_min,True
patient_original_glcm_id_std,original_glcm_id_std,ext_original_glcm_Id_std,True
patient_original_glcm_idm_cv,original_glcm_idm_cv,,False
patient_original_glcm_idm_iqr,original_glcm_idm_iqr,,False
patient_original_glcm_idm_max,original_glcm_idm_max,ext_original_glcm_Idm_max,True
patient_original_glcm_idm_mean,original_glcm_idm_mean,ext_original_glcm_Idm_mean,True
patient_original_glcm_idm_min,original_glcm_idm_min,ext_original_glcm_Idm_min,True
patient_original_glcm_idm_std,original_glcm_idm_std,ext_original_glcm_Idm_std,True
patient_original_glcm_idmn_cv,original_glcm_idmn_cv,,False
patient_original_glcm_idmn_iqr,original_glcm_idmn_iqr,,False
patient_original_glcm_idmn_max,original_glcm_idmn_max,ext_original_glcm_Idmn_max,True
patient_original_glcm_idmn_mean,original_glcm_idmn_mean,ext_original_glcm_Idmn_mean,True
patient_original_glcm_idmn_min,original_glcm_idmn_min,ext_original_glcm_Idmn_min,True
patient_original_glcm_idmn_std,original_glcm_idmn_std,ext_original_glcm_Idmn_std,True
patient_original_glcm_idn_cv,original_glcm_idn_cv,,False
patient_original_glcm_idn_iqr,original_glcm_idn_iqr,,False
patient_original_glcm_idn_max,original_glcm_idn_max,ext_original_glcm_Idn_max,True
patient_original_glcm_idn_mean,original_glcm_idn_mean,ext_original_glcm_Idn_mean,True
patient_original_glcm_idn_min,original_glcm_idn_min,ext_original_glcm_Idn_min,True
patient_original_glcm_idn_std,original_glcm_idn_std,ext_original_glcm_Idn_std,True
patient_original_glcm_imc1_cv,original_glcm_imc1_cv,,False
patient_original_glcm_imc1_iqr,original_glcm_imc1_iqr,,False
patient_original_glcm_imc1_max,original_glcm_imc1_max,ext_original_glcm_Imc1_max,True
patient_original_glcm_imc1_mean,original_glcm_imc1_mean,ext_original_glcm_Imc1_mean,True
patient_original_glcm_imc1_min,original_glcm_imc1_min,ext_original_glcm_Imc1_min,True
patient_original_glcm_imc1_std,original_glcm_imc1_std,ext_original_glcm_Imc1_std,True
patient_original_glcm_imc2_cv,original_glcm_imc2_cv,,False
patient_original_glcm_imc2_iqr,original_glcm_imc2_iqr,,False
patient_original_glcm_imc2_max,original_glcm_imc2_max,ext_original_glcm_Imc2_max,True
patient_original_glcm_imc2_mean,original_glcm_imc2_mean,ext_original_glcm_Imc2_mean,True
patient_original_glcm_imc2_min,original_glcm_imc2_min,ext_original_glcm_Imc2_min,True
patient_original_glcm_imc2_std,original_glcm_imc2_std,ext_original_glcm_Imc2_std,True
patient_original_glcm_inversevariance_cv,original_glcm_inversevariance_cv,,False
patient_original_glcm_inversevariance_iqr,original_glcm_inversevariance_iqr,,False
patient_original_glcm_inversevariance_max,original_glcm_inversevariance_max,ext_original_glcm_InverseVariance_max,True
patient_original_glcm_inversevariance_mean,original_glcm_inversevariance_mean,ext_original_glcm_InverseVariance_mean,True
patient_original_glcm_inversevariance_min,original_glcm_inversevariance_min,ext_original_glcm_InverseVariance_min,True
patient_original_glcm_inversevariance_std,original_glcm_inversevariance_std,ext_original_glcm_InverseVariance_std,True
patient_original_glcm_jointaverage_cv,original_glcm_jointaverage_cv,,False
patient_original_glcm_jointaverage_iqr,original_glcm_jointaverage_iqr,,False
patient_original_glcm_jointaverage_max,original_glcm_jointaverage_max,ext_original_glcm_JointAverage_max,True
patient_original_glcm_jointaverage_mean,original_glcm_jointaverage_mean,ext_original_glcm_JointAverage_mean,True
patient_original_glcm_jointaverage_min,original_glcm_jointaverage_min,ext_original_glcm_JointAverage_min,True
patient_original_glcm_jointaverage_std,original_glcm_jointaverage_std,ext_original_glcm_JointAverage_std,True
patient_original_glcm_jointenergy_cv,original_glcm_jointenergy_cv,,False
patient_original_glcm_jointenergy_iqr,original_glcm_jointenergy_iqr,,False
patient_original_glcm_jointenergy_max,original_glcm_jointenergy_max,ext_original_glcm_JointEnergy_max,True
patient_original_glcm_jointenergy_mean,original_glcm_jointenergy_mean,ext_original_glcm_JointEnergy_mean,True
patient_original_glcm_jointenergy_min,original_glcm_jointenergy_min,ext_original_glcm_JointEnergy_min,True
patient_original_glcm_jointenergy_std,original_glcm_jointenergy_std,ext_original_glcm_JointEnergy_std,True
patient_original_glcm_jointentropy_cv,original_glcm_jointentropy_cv,,False
patient_original_glcm_jointentropy_iqr,original_glcm_jointentropy_iqr,,False
patient_original_glcm_jointentropy_max,original_glcm_jointentropy_max,ext_original_glcm_JointEntropy_max,True
patient_original_glcm_jointentropy_mean,original_glcm_jointentropy_mean,ext_original_glcm_JointEntropy_mean,True
patient_original_glcm_jointentropy_min,original_glcm_jointentropy_min,ext_original_glcm_JointEntropy_min,True
patient_original_glcm_jointentropy_std,original_glcm_jointentropy_std,ext_original_glcm_JointEntropy_std,True
patient_original_glcm_maximumprobability_cv,original_glcm_maximumprobability_cv,,False
patient_original_glcm_maximumprobability_iqr,original_glcm_maximumprobability_iqr,,False
patient_original_glcm_maximumprobability_max,original_glcm_maximumprobability_max,ext_original_glcm_MaximumProbability_max,True
patient_original_glcm_maximumprobability_mean,original_glcm_maximumprobability_mean,ext_original_glcm_MaximumProbability_mean,True
patient_original_glcm_maximumprobability_min,original_glcm_maximumprobability_min,ext_original_glcm_MaximumProbability_min,True
patient_original_glcm_maximumprobability_std,original_glcm_maximumprobability_std,ext_original_glcm_MaximumProbability_std,True
patient_original_glcm_mcc_cv,original_glcm_mcc_cv,,False
patient_original_glcm_mcc_iqr,original_glcm_mcc_iqr,,False
patient_original_glcm_mcc_max,original_glcm_mcc_max,ext_original_glcm_MCC_max,True
patient_original_glcm_mcc_mean,original_glcm_mcc_mean,ext_original_glcm_MCC_mean,True
patient_original_glcm_mcc_min,original_glcm_mcc_min,ext_original_glcm_MCC_min,True
patient_original_glcm_mcc_std,original_glcm_mcc_std,ext_original_glcm_MCC_std,True
patient_original_glcm_sumaverage_cv,original_glcm_sumaverage_cv,,False
patient_original_glcm_sumaverage_iqr,original_glcm_sumaverage_iqr,,False
patient_original_glcm_sumaverage_max,original_glcm_sumaverage_max,ext_original_glcm_SumAverage_max,True
patient_original_glcm_sumaverage_mean,original_glcm_sumaverage_mean,ext_original_glcm_SumAverage_mean,True
patient_original_glcm_sumaverage_min,original_glcm_sumaverage_min,ext_original_glcm_SumAverage_min,True
patient_original_glcm_sumaverage_std,original_glcm_sumaverage_std,ext_original_glcm_SumAverage_std,True
patient_original_glcm_sumentropy_cv,original_glcm_sumentropy_cv,,False
patient_original_glcm_sumentropy_iqr,original_glcm_sumentropy_iqr,,False
patient_original_glcm_sumentropy_max,original_glcm_sumentropy_max,ext_original_glcm_SumEntropy_max,True
patient_original_glcm_sumentropy_mean,original_glcm_sumentropy_mean,ext_original_glcm_SumEntropy_mean,True
patient_original_glcm_sumentropy_min,original_glcm_sumentropy_min,ext_original_glcm_SumEntropy_min,True
patient_original_glcm_sumentropy_std,original_glcm_sumentropy_std,ext_original_glcm_SumEntropy_std,True
patient_original_glcm_sumsquares_cv,original_glcm_sumsquares_cv,,False
patient_original_glcm_sumsquares_iqr,original_glcm_sumsquares_iqr,,False
patient_original_glcm_sumsquares_max,original_glcm_sumsquares_max,ext_original_glcm_SumSquares_max,True
patient_original_glcm_sumsquares_mean,original_glcm_sumsquares_mean,ext_original_glcm_SumSquares_mean,True
patient_original_glcm_sumsquares_min,original_glcm_sumsquares_min,ext_original_glcm_SumSquares_min,True
patient_original_glcm_sumsquares_std,original_glcm_sumsquares_std,ext_original_glcm_SumSquares_std,True
patient_original_gldm_dependenceentropy_cv,original_gldm_dependenceentropy_cv,,False
patient_original_gldm_dependenceentropy_iqr,original_gldm_dependenceentropy_iqr,,False
patient_original_gldm_dependenceentropy_max,original_gldm_dependenceentropy_max,ext_original_gldm_DependenceEntropy_max,True
patient_original_gldm_dependenceentropy_mean,original_gldm_dependenceentropy_mean,ext_original_gldm_DependenceEntropy_mean,True
patient_original_gldm_dependenceentropy_min,original_gldm_dependenceentropy_min,ext_original_gldm_DependenceEntropy_min,True
patient_original_gldm_dependenceentropy_std,original_gldm_dependenceentropy_std,ext_original_gldm_DependenceEntropy_std,True
patient_original_gldm_dependencenonuniformity_cv,original_gldm_dependencenonuniformity_cv,,False
patient_original_gldm_dependencenonuniformity_iqr,original_gldm_dependencenonuniformity_iqr,,False
patient_original_gldm_dependencenonuniformity_max,original_gldm_dependencenonuniformity_max,ext_original_gldm_DependenceNonUniformity_max,True
patient_original_gldm_dependencenonuniformity_mean,original_gldm_dependencenonuniformity_mean,ext_original_gldm_DependenceNonUniformity_mean,True
patient_original_gldm_dependencenonuniformity_min,original_gldm_dependencenonuniformity_min,ext_original_gldm_DependenceNonUniformity_min,True
patient_original_gldm_dependencenonuniformity_std,original_gldm_dependencenonuniformity_std,ext_original_gldm_DependenceNonUniformity_std,True
patient_original_gldm_dependencenonuniformitynormalized_cv,original_gldm_dependencenonuniformitynormalized_cv,,False
patient_original_gldm_dependencenonuniformitynormalized_iqr,original_gldm_dependencenonuniformitynormalized_iqr,,False
patient_original_gldm_dependencenonuniformitynormalized_max,original_gldm_dependencenonuniformitynormalized_max,ext_original_gldm_DependenceNonUniformityNormalized_max,True
patient_original_gldm_dependencenonuniformitynormalized_mean,original_gldm_dependencenonuniformitynormalized_mean,ext_original_gldm_DependenceNonUniformityNormalized_mean,True
patient_original_gldm_dependencenonuniformitynormalized_min,original_gldm_dependencenonuniformitynormalized_min,ext_original_gldm_DependenceNonUniformityNormalized_min,True
patient_original_gldm_dependencenonuniformitynormalized_std,original_gldm_dependencenonuniformitynormalized_std,ext_original_gldm_DependenceNonUniformityNormalized_std,True
patient_original_gldm_dependencevariance_cv,original_gldm_dependencevariance_cv,,False
patient_original_gldm_dependencevariance_iqr,original_gldm_dependencevariance_iqr,,False
patient_original_gldm_dependencevariance_max,original_gldm_dependencevariance_max,ext_original_gldm_DependenceVariance_max,True
patient_original_gldm_dependencevariance_mean,original_gldm_dependencevariance_mean,ext_original_gldm_DependenceVariance_mean,True
patient_original_gldm_dependencevariance_min,original_gldm_dependencevariance_min,ext_original_gldm_DependenceVariance_min,True
patient_original_gldm_dependencevariance_std,original_gldm_dependencevariance_std,ext_original_gldm_DependenceVariance_std,True
patient_original_gldm_graylevelnonuniformity_cv,original_gldm_graylevelnonuniformity_cv,,False
patient_original_gldm_graylevelnonuniformity_iqr,original_gldm_graylevelnonuniformity_iqr,,False
patient_original_gldm_graylevelnonuniformity_max,original_gldm_graylevelnonuniformity_max,ext_original_gldm_GrayLevelNonUniformity_max,True
patient_original_gldm_graylevelnonuniformity_mean,original_gldm_graylevelnonuniformity_mean,ext_original_gldm_GrayLevelNonUniformity_mean,True
patient_original_gldm_graylevelnonuniformity_min,original_gldm_graylevelnonuniformity_min,ext_original_gldm_GrayLevelNonUniformity_min,True
patient_original_gldm_graylevelnonuniformity_std,original_gldm_graylevelnonuniformity_std,ext_original_gldm_GrayLevelNonUniformity_std,True
patient_original_gldm_graylevelvariance_cv,original_gldm_graylevelvariance_cv,,False
patient_original_gldm_graylevelvariance_iqr,original_gldm_graylevelvariance_iqr,,False
patient_original_gldm_graylevelvariance_max,original_gldm_graylevelvariance_max,ext_original_gldm_GrayLevelVariance_max,True
patient_original_gldm_graylevelvariance_mean,original_gldm_graylevelvariance_mean,ext_original_gldm_GrayLevelVariance_mean,True
patient_original_gldm_graylevelvariance_min,original_gldm_graylevelvariance_min,ext_original_gldm_GrayLevelVariance_min,True
patient_original_gldm_graylevelvariance_std,original_gldm_graylevelvariance_std,ext_original_gldm_GrayLevelVariance_std,True
patient_original_gldm_highgraylevelemphasis_cv,original_gldm_highgraylevelemphasis_cv,,False
patient_original_gldm_highgraylevelemphasis_iqr,original_gldm_highgraylevelemphasis_iqr,,False
patient_original_gldm_highgraylevelemphasis_max,original_gldm_highgraylevelemphasis_max,ext_original_gldm_HighGrayLevelEmphasis_max,True
